0,622.6,491.56,439.93,707.64,663.65,557.09,711.37,731.31,509.8,1.33333
1,538,490.58,406.59,529.05,532.28,447.23,527.58,379.14,488.64,2.98333
1,455.18,440,570.86,417.54,453.53,425.87,475.63,476.11,407.15,1.97333
0,756.91,679.62,531.28,583.63,534.42,521.4,592.41,783.76,588.26,2.53333
1,584.54,649.84,637.43,609.06,670.46,515.38,572.52,581.25,529.04,1.58667
1,325.99,466.74,597.06,554.43,535.77,717.03,477.6,503.82,422.92,1.66667
0,622.6,587.04,598.85,603.32,690.7,652.86,533.05,755.3,628.73,3.72333
1,527.65,559.99,758.37,669.71,645.62,648.67,539.23,470.78,486.13,3.08333
0,647.64,687.83,630.61,613.95,557.43,739.94,557.27,557.14,632.54,0
0,538,515.87,516.1,573.66,558.53,468.58,607.25,495.5,468.26,2.82
1,575.04,514.19,655.67,435.56,601.6,560.5,520.62,664.85,558.95,2.79
0,437.29,405.43,626.39,307.85,566.37,622.29,556.47,492.37,551.59,2.90667
0,482.47,611.5,362.44,435.57,592.79,543.15,505.83,578.77,507.95,2.44
1,516.22,494.7,446.75,722.68,564.16,644.37,689.4,638.14,588.98,3.53333
1,437.29,482.71,573.6,478.14,381.44,622.29,375.83,492.37,420.67,0.79
0,750.56,767.51,655.67,600.96,680.01,454.2,638.15,742.29,732.55,2.25667
1,602.39,645.51,573.12,501.84,614.21,526.24,481.29,548.08,565.96,3.28667
1,531.16,654.93,604.52,518.26,523.2,533.92,585.77,664.85,732.55,3.32667
0,667.91,611.81,676.95,595.85,624.07,739.94,664.81,511.14,583.29,3.57667
0,714.51,760.38,660.9,521.62,725.3,687.42,570.19,719.01,753.44,3.77667
0,443.4,457.9,604.52,518.26,601.6,507.35,423.21,393.8,484.54,0.75
1,650.43,633.67,640.13,491.91,558.6,572.12,535.17,574.05,696.85,2.22
1,551.4,587.04,651.82,603.32,690.7,509.21,583.41,611.36,581.16,4
0,551.4,610.91,625.33,624.18,609.56,676.8,621.46,683.33,652.51,2.93333
1,459.88,637.26,547.21,542,619.2,543.15,489.31,578.77,507.95,1.43
1,607.84,541.77,531.28,583.63,486.04,673.57,484.06,600.26,631.69,2.07333
0,524.79,633.67,538.24,584.4,576.42,739.79,542.65,673.19,679.79,2.61333
1,487.28,626.78,578.94,518.26,470.93,427.63,406.28,568.05,434.94,2.68333
0,685.79,508.47,705.58,669.71,804.13,648.67,646.25,621.96,617.05,3.66333
0,541.21,428.75,543.57,499.76,423.71,472.38,510.76,443.49,618.8,2.27667
1,646.34,634.78,757.76,645.05,717.74,557.09,505.44,731.31,723.87,2.23333
0,736.17,594.57,684.36,521.62,643.05,644.41,521.05,741.97,820.76,3.23
0,714.31,633.67,640.13,583.63,655.35,749.66,551.52,731.33,827.15,3.21333
0,541.21,594.57,567.04,521.62,423.71,493.88,580.82,581.25,484.16,3.3
1,566.53,459.78,561.1,613.95,579.64,644.87,570.72,534.14,632.54,2.26667
0,558.19,697.72,469.68,625.22,672.07,692.05,589.81,567.34,611.12,3.41333
0,681.98,593.27,573.12,643.11,643.03,653.6,585.34,667.12,677.83,2.51333
1,416.67,358.18,521.77,501.84,498.94,526.24,578.29,548.08,543.58,2.00333
0,550.64,580.24,491.14,783.7,550.9,552.39,684.41,460.96,503.63,3.66667
0,685.79,611.5,626.39,542,592.79,569.53,557.9,643.56,682.51,3.94
0,565.86,441.07,570.49,576.49,535.77,669.2,489.62,559.61,496.39,3.69
0,453.27,469.32,561.4,742.17,645.09,549.01,490.21,449.34,433.95,3
0,414.7,456.95,705.58,584.57,434.27,701.44,502.96,384.38,420.67,3.41333
1,524.79,446.67,491.14,609.32,525.37,458.69,513.28,634.6,547.67,1.52667
0,459.88,637.26,494.41,584.57,460.69,701.44,626.5,449.18,464.31,2.64333
0,562.87,484.02,496.64,456.04,615.63,536.89,462.94,627.17,641.24,2.06667
1,469.73,645.51,598.79,582.57,700.67,577.19,533.15,548.08,610.7,3.85
1,565.25,587.72,509.52,601.98,437.67,470.67,447.26,678.9,501.39,2.16667
0,543.95,495.82,531.28,620.32,413.48,521.4,569.92,521.62,544.82,2.31
1,560.28,467.41,647.27,536.14,604.29,484.42,526.02,590.11,542.5,1.96
1,618.92,598.63,604.52,435.56,627.74,587.07,539.46,664.85,658.15,1.83333
0,465.34,457.9,630.09,497.59,549.33,480.78,573.64,471.25,434.94,4
1,565.25,587.72,553.05,565.29,631.17,648.21,559.7,495.4,588.26,2.66667
1,684.74,654.93,578.94,580.28,575.47,613.65,595.35,626.13,633.35,3.42
